Length,ASR,Radius,line1,line2,line3,line5,angle1,angle2,angle3,angle4,corner3,corner4,springback
720,1.3,924,17,31,35,16,90,170,130,103,10,4,22.4744992
720,1.3,1270,23,31,20,16,90,170,130,103,10,4,23.785523
918,0.64,924,23,31,35,16,90,170,130,103,10,4,27.1764125
918,0.64,924,17,31,35,16,90,134,130,150,10,4,11.4313747
720,0.64,924,23,31,20,16,90,170,130,150,10,4,20.4841388
918,1.3,1270,23,31,35,16,90,170,130,150,10,4,32.091314
720,0.64,924,17,31,20,16,90,134,130,103,10,4,8.5414146
720,1.3,1270,17,31,20,16,90,134,130,150,10,4,13.0271361
918,1.3,924,17,31,20,16,90,170,130,150,10,4,38.1973466
918,0.64,1270,17,31,20,16,90,170,130,103,10,4,20.1618178
720,0.64,1270,23,31,35,16,90,134,130,103,10,4,10.634537
918,1.3,924,23,31,20,16,90,134,130,103,10,4,17.3045157
720,0.64,1270,17,31,35,16,90,170,130,150,10,4,12.1796838
720,1.3,924,23,31,35,16,90,134,130,150,10,4,18.8403695
918,1.3,1270,17,31,35,16,90,134,130,103,10,4,13.5592883
918,0.64,1270,23,31,20,16,90,134,130,150,10,4,9.9770494
819,0.97,806,20,22,38,18,97,170,115,112,5,5,32.6
918,0.64,924,20,22,38,18,97,170,115,112,5,5,25.5
720,0.64,924,20,22,38,18,97,170,115,112,5,5,17.7
652,0.97,1097,20,22,38,18,97,170,115,112,5,5,18.4
819,0.42,1097,20,22,38,18,97,170,115,112,5,5,8.3
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,24.9
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,24.9
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,24.9
918,0.64,1270,20,22,38,18,97,170,115,112,5,5,16.6
720,1.3,924,20,22,38,18,97,170,115,112,5,5,28.8
985,0.97,1097,20,22,38,18,97,170,115,112,5,5,33.2
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,25.4
819,1.52,1097,20,22,38,18,97,170,115,112,5,5,31.4
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,25.4
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,25.4
918,1.3,924,20,22,38,18,97,170,115,112,5,5,38.9
819,0.97,1387,20,22,38,18,97,170,115,112,5,5,21
720,0.64,1270,20,22,38,18,97,170,115,112,5,5,8.8
720,1.3,1270,20,22,38,18,97,170,115,112,5,5,17.7
918,1.3,1270,20,22,38,18,97,170,115,112,5,5,31
850,1.3,1091,14,31,35,16,90,134,130,103,10,4,10.8
850,1.3,1091,20,31,35,16,90,134,130,150,10,4,12.4
850,1.3,1091,20,31,20,16,90,134,130,103,10,4,11.7
850,1.3,1091,14,31,20,16,90,134,130,150,10,4,13.1
850,1.3,1091,20,31,35,16,90,170,130,103,10,4,12.5
850,1.3,1091,20,31,35,16,90,170,130,150,10,4,12.4
850,1.3,1091,14,31,35,16,90,134,130,150,10,4,13.8
850,1.3,1091,14,31,20,16,90,134,130,103,10,4,12.1
850,1.3,1091,14,31,35,16,90,180,130,150,10,4,7.8
850,1.3,1091,14,31,35,16,90,134,130,103,10,4,17.4
850,1.3,1091,20,31,35,16,90,170,130,103,10,4,17.4
850,1.3,1091,20,31,20,16,90,134,130,150,10,4,17.9
850,1.3,1091,14,31,20,16,90,170,130,103,10,4,18.7
850,1.3,1091,20,31,20,16,90,170,130,150,10,4,24.4
850,1.3,1091,14,31,20,16,90,170,130,150,10,4,21.3
850,1.3,1091,20,31,20,16,90,170,130,103,10,4,34.5
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,25.4
920,1.3,1191,23,31,38,16,90,170,130,150,10,4,29.7
920,1.3,1191,23,31,38,16,90,134,130,103,10,4,17.1
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,24.3
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,25.4
920,1.3,1191,23,31,23,16,90,134,130,150,10,4,18.9
920,1.3,1191,17,31,38,16,90,170,130,103,10,4,20.2
920,1.3,1191,17,31,38,16,90,134,130,103,10,4,12.3
920,1.3,1191,23,31,23,16,90,170,130,150,10,4,33
920,1.3,1191,23,31,38,16,90,134,130,150,10,4,19.1
920,1.3,1191,26,31,30.5,16,90,152,130,126.5,10,4,28.6
920,1.3,1191,17,31,23,16,90,134,130,103,10,4,12.1
920,1.3,1191,20,31,30.5,16,90,152,130,79.5,10,4,16.7
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,24.9
920,1.3,1191,17,31,23,16,90,170,130,103,10,4,24.3
920,1.3,1191,20,31,30.5,16,90,116,130,126.5,10,4,16.6
920,1.3,1191,17,31,23,16,90,170,130,150,10,4,28.1
920,1.3,1191,23,31,23,16,90,170,130,103,10,4,26.7
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,24.9
920,1.3,1191,17,31,38,16,90,170,130,150,10,4,24.5
920,1.3,1191,23,31,38,16,90,170,130,103,10,4,25
920,1.3,1191,14,31,30.5,16,90,152,130,126.5,10,4,17.9
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,25.4
920,1.3,1191,17,31,38,16,90,134,130,150,10,4,15.6
920,1.3,1191,20,31,30.5,16,90,152,130,126.5,10,4,24.9
920,1.3,1191,20,31,15.5,16,90,152,130,126.5,10,4,23.1
920,1.3,1191,20,31,45.5,16,90,152,130,126.5,10,4,23.2
920,1.3,1191,17,31,23,16,90,134,130,150,10,4,15.3
920,1.3,1191,20,31,30.5,16,90,188,130,126.5,10,4,22.6
920,1.3,1191,23,31,23,16,90,134,130,103,10,4,15.3
920,1.3,1191,20,31,30.5,16,90,152,130,173.5,10,4,19.5
820,0.97,924,23,31,26,16,90,152,130,103,10,4,20.6997314
820,0.97,924,23,31,26,16,90,152,130,103,10,4,20.6997314
820,0.97,924,23,31,26,16,90,152,130,103,10,4,20.6997314
720,1.3,924,23,31,26,16,90,170,130,103,10,4,27.8242759
720,1.3,924,23,31,26,16,90,134,130,103,10,4,14.3444322
720,0.64,924,23,31,26,16,90,134,130,103,10,4,9.4135337
820,0.97,924,23,31,26,16,90,152,130,103,10,4,22.0209909
820,1.52,924,23,31,26,16,90,152,130,103,10,4,29.1778129
820,0.97,924,23,31,26,16,90,180,130,103,10,4,23.7840832
920,0.64,924,23,31,26,16,90,170,130,103,10,4,25.4072176
920,1.3,924,23,31,26,16,90,134,130,103,10,4,23.1976365
988,0.97,924,23,31,26,16,90,152,130,103,10,4,28.2969733
820,0.97,924,23,31,26,16,90,152,130,103,10,4,21.690676
720,0.64,924,23,31,26,16,90,170,130,103,10,4,17.9874107
920,0.64,924,23,31,26,16,90,134,130,103,10,4,12.4393123
920,1.3,924,23,31,26,16,90,170,130,103,10,4,34.8506082
820,0.97,924,23,31,26,16,90,121,130,103,10,4,14.8436964
820,0.97,924,23,31,26,16,90,152,130,103,10,4,21.4704661
820,0.42,924,23,31,26,16,90,152,130,103,10,4,11.2307054
652,0.97,924,23,31,26,16,90,152,130,103,10,4,15.4146936
